name,description,product_variants,sku,pack,size,gtin,retail_price,is_catch_weight,average_case_weight,image_url,manufacturer_sku,content_url,ordering_unit,is_broken_case,avg_case_weight,brand,category,sub-category,product-category-style,manufacturer_name,distributor_name,supplier_name,country_of_origin,Group,Level 1 Category,Level 2 Category,Level 3 Category
Lisboa Opulent Tinto,"Intense Ruby color. Complex and Opulent in the nose, with fruity (ripe red Fruits) And Spicy Aromas. Elegant, with a velvety texture and very well balanced this is a round bodied wine with smooth tannins long and pleasant finish.",,1805867,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2462153/b867163c12f28eb456ada.png?1665406849,,https://johnsonbrothers.storefronts.site/p/9U5RP,,,,12 Knights,Wine,Still,Red,,johnson brothers,Milton's Distributing Co Inc,Portugal,Alcohol,Wine,Still,Red
Revolutionary Red Blend Limited Edition,"19 Crimes from Australia, provided by Treasury Wine Estates. Enjoy the unique taste and quality.",,1419605,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2552588/7d18acf8100ae77bb9343.png?1676698765,,https://johnsonbrothers.storefronts.site/p/FDD48,,,,19 Crimes,Wine,Still,Red,,johnson brothers,Treasury Wine Estates,Australia,Alcohol,Wine,Still,Red
Cabernet Sauvignon Double Black Bourbon Barrel Aged Lodi Limited Edition,"Flavor : Layered with suggestions of blackberry, vanilla and warm spice with notes reminiscent of Bourbon: caramel, butterscotch and charred oak.",,1689159,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/3251705/acccddaf6217e29ccc7b5.png?1723150710,,https://johnsonbrothers.storefronts.site/p/BNAVO,,,,1924 Wines,Wine,Still,Red,,johnson brothers,Delicato Family Vineyards,United States,Alcohol,Wine,Still,Red
Cabernet Sauvignon Double Black Lodi Limited Edition,"Intense aromas of black cherry, violet, black peppercorn and smoky charred notes, complemented by concentrated flavors of blackberry jam, black currant and spicy clove.",,1829968,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/3006594/bc1448456e561d074b366.png?1709239186,,https://johnsonbrothers.storefronts.site/p/S2420,,,,1924 Wines,Wine,Still,Red,,johnson brothers,Delicato Family Vineyards,United States,Alcohol,Wine,Still,Red
Chardonnay Buttery 1924 Double Gold Limited Edition,"1924 Wines from United States, provided by Delicato Family Vineyards. Enjoy the unique taste and quality.",,1079298,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2389734/9c87ccda4ba4a60bac6fe.png?1658144877,,https://johnsonbrothers.storefronts.site/p/Q29WO,,,,1924 Wines,Wine,Still,White,,johnson brothers,Delicato Family Vineyards,United States,Alcohol,Wine,Still,White
Double Black Red Wine Blend Lodi Limited Edition,"Rich aromas of blackberry, mocha, caramel and vanilla, setting the stage for concentrated core flavors of plum, dark chocolate, toasted marshmallow and allspice.",,1233445,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2252851/ce92764f1dc43bce755ac.png?1650349818,,https://johnsonbrothers.storefronts.site/p/A5CTA,,,,1924 Wines,Wine,Still,Red,,johnson brothers,Delicato Family Vineyards,United States,Alcohol,Wine,Still,Red
Limited Edition 1924 Whiskey Barrel Aged Red Blend,"Rich aromas of blackberry, mocha, caramel and vanilla, setting the stage for concentrated core flavors of plum, dark chocolate, toasted marshmallow and allspice.",,1537177,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/3153725/c522826f491c0ba77b2e8.png?1717087279,,https://johnsonbrothers.storefronts.site/p/1VAMV,,,,1924 Wines,Wine,Still,Red,,johnson brothers,Delicato Family Vineyards,United States,Alcohol,Wine,Still,Red
Gem of Kentucky Straight Bourbon Whiskey,"2XO Whiskey from United States, provided by Prestige Beverage Group. Enjoy the unique taste and quality.",,1431369,6,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2759748/b8412a18f99e130b46fd0.png?1694430687,,https://johnsonbrothers.storefronts.site/p/JO023,,,,2XO Whiskey,Spirit,Whiskey,Bourbon,,johnson brothers,Prestige Beverage Group,United States,Alcohol,Spirit,Whiskey,Bourbon
Oak Series American Oak Kentucky Straight Bourbon Whiskey,"2XO Whiskey from United States, provided by Prestige Beverage Group. Enjoy the unique taste and quality.",,1562461,6,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2663981/c9a94a7320c844b69f2ae.png?1687173243,,https://johnsonbrothers.storefronts.site/p/FECMQ,,,,2XO Whiskey,Spirit,Whiskey,Bourbon,,johnson brothers,Prestige Beverage Group,United States,Alcohol,Spirit,Whiskey,Bourbon
Oak Series French Oak Kentucky Straight Bourbon Whiskey,"2XO Whiskey from United States, provided by Prestige Beverage Group. Enjoy the unique taste and quality.",,1686897,6,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/3248350/f5f863fa4c76dbd53616c.png?1722966058,,https://johnsonbrothers.storefronts.site/p/FFLQU,,,,2XO Whiskey,Spirit,Whiskey,Bourbon,,johnson brothers,Prestige Beverage Group,United States,Alcohol,Spirit,Whiskey,Bourbon
The Kiawah Blend Kentucky Straight Bourbon Whiskey,"2XO Whiskey from United States, provided by Prestige Beverage Group. Enjoy the unique taste and quality.",,1856026,6,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2843751/e7ddc590e2431798c5cca.png?1700046175,,https://johnsonbrothers.storefronts.site/p/6U30H,,,,2XO Whiskey,Spirit,Whiskey,Bourbon,,johnson brothers,Prestige Beverage Group,United States,Alcohol,Spirit,Whiskey,Bourbon
The Phoenix Blend Kentucky Straight Bourbon Whiskey,"2XO Whiskey from United States, provided by Prestige Beverage Group. Enjoy the unique taste and quality.",,1017537,6,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2415745/9697f6a6c96db73b62f33.png?1660214578,,https://johnsonbrothers.storefronts.site/p/SRJ74,,,,2XO Whiskey,Spirit,Whiskey,Bourbon,,johnson brothers,Prestige Beverage Group,United States,Alcohol,Spirit,Whiskey,Bourbon
The Tribute Blend Kentucky Straight Bourbon Whiskey,"2XO Whiskey from United States, provided by Prestige Beverage Group. Enjoy the unique taste and quality.",,1251426,6,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2661090/37b6514f35e1a2e2c350e.png?1686837519,,https://johnsonbrothers.storefronts.site/p/0E8YV,,,,2XO Whiskey,Spirit,Whiskey,Bourbon,,johnson brothers,Prestige Beverage Group,United States,Alcohol,Spirit,Whiskey,Bourbon
Shiraz Barossa Valley,"3 Rings from Australia, provided by Quintessential, Llc. Enjoy the unique taste and quality.",,1581768,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2782804/920caf494462436d3ef08.png?1696332934,,https://johnsonbrothers.storefronts.site/p/NEOOE,,,,3 Rings,Wine,Still,Red,,johnson brothers,"Quintessential, Llc",Australia,Alcohol,Wine,Still,Red
Cabernet Sauvignon Bourbon Barrel Aged Small Batch Paso Robles,"5th And Bowie from United States, provided by Milton's Distributing Co Inc. Enjoy the unique taste and quality.",,1677159,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2253310/4bc00d556e92e50fbd855.png?1650370448,,https://johnsonbrothers.storefronts.site/p/HO3UF,,,,5th And Bowie,Wine,Still,Red,,johnson brothers,Milton's Distributing Co Inc,United States,Alcohol,Wine,Still,Red
Zinfandel,"A bright and lively vintage with instantly charming aromas of freshly picked raspberries, blackberries and cherries. Hints of cinnamon and star anise add a playful zing of spice to this elegantly styled zin. With a softness on the palate and supple tannins, this wine is enjoyable now in its vibrant youth, yet its classic character will allow for it to mature further.",,1518951,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/1755843/9a079c3bfc514a7f05eb0.png?1606881997,,https://johnsonbrothers.storefronts.site/p/HHD36,,,,A. Rafanelli Vineyard,Wine,Still,Red,,johnson brothers,A Rafanelli,United States,Alcohol,Wine,Still,Red
Acclaimed Red Blend Napa Valley,"Acclaimed from United States, provided by Bracus Imports LLC. Enjoy the unique taste and quality.",,1551595,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2149824/7d5bb8fbc4c998026bf1c.png?1641554185,,https://johnsonbrothers.storefronts.site/p/6LHGC,,,,Acclaimed,Wine,Still,Red,,johnson brothers,Bracus Imports LLC,United States,Alcohol,Wine,Still,Red
Cabernet Sauvignon Rutherford,"Aromas of brambly raspberry and lavender are layered with barrel notes of vanilla and toffee. Rich black plum and black cherry are at the forefront of a solid core of fruit that coats the palate, while an underlying notes of mocha that compliments the bold, firm texture and full body.",,1236477,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/1319844/4999e660ea794933dae67.png?1571914931,,https://johnsonbrothers.storefronts.site/p/AXZ2T,,,,Acclaimed,Wine,Still,Red,,johnson brothers,Bracus Imports LLC,United States,Alcohol,Wine,Still,Red
Natural Spring Water,"A non-sparkling natural spring water, Acqua Panna has a low mineral content, giving it a crisp, clean taste that cleanses the palate and refreshes the taste buds.",,1814181,12,1.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/3162223/1c144f0c27f236e5ca748.png?1717594412,,https://johnsonbrothers.storefronts.site/p/JDIQN,,,,Acqua Panna,Non-alcoholic,Water,Still,,johnson brothers,Nestle Waters North America Inc,Italy,Alcohol,Non-alcoholic,Water,Still
Natural Spring Water,"A non-sparkling natural spring water, Acqua Panna has a low mineral content, giving it a crisp, clean taste that cleanses the palate and refreshes the taste buds.",,1213805,12,1.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/3162223/1c144f0c27f236e5ca748.png?1717594412,,https://johnsonbrothers.storefronts.site/p/JDIQN,,,,Acqua Panna,Non-alcoholic,Water,Still,,johnson brothers,Nestle Waters North America Inc,Italy,Alcohol,Non-alcoholic,Water,Still
Natural Spring Water,"A non-sparkling natural spring water, Acqua Panna has a low mineral content, giving it a crisp, clean taste that cleanses the palate and refreshes the taste buds.",,1025893,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/3162223/1c144f0c27f236e5ca748.png?1717594412,,https://johnsonbrothers.storefronts.site/p/JDIQN,,,,Acqua Panna,Non-alcoholic,Water,Still,,johnson brothers,Nestle Waters North America Inc,Italy,Alcohol,Non-alcoholic,Water,Still
Natural Spring Water,"A non-sparkling natural spring water, Acqua Panna has a low mineral content, giving it a crisp, clean taste that cleanses the palate and refreshes the taste buds.",,1931699,15,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/3162223/1c144f0c27f236e5ca748.png?1717594412,,https://johnsonbrothers.storefronts.site/p/JDIQN,,,,Acqua Panna,Non-alcoholic,Water,Still,,johnson brothers,Nestle Waters North America Inc,Italy,Alcohol,Non-alcoholic,Water,Still
Natural Spring Water,"A non-sparkling natural spring water, Acqua Panna has a low mineral content, giving it a crisp, clean taste that cleanses the palate and refreshes the taste buds.",,1076416,24,500.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/3162223/1c144f0c27f236e5ca748.png?1717594412,,https://johnsonbrothers.storefronts.site/p/JDIQN,,,,Acqua Panna,Non-alcoholic,Water,Still,,johnson brothers,Nestle Waters North America Inc,Italy,Alcohol,Non-alcoholic,Water,Still
