name,description,product_variants,sku,pack,size,gtin,retail_price,is_catch_weight,average_case_weight,image_url,manufacturer_sku,content_url,ordering_unit,is_broken_case,avg_case_weight,brand,category,sub-category,product-category-style,manufacturer_name,distributor_name,supplier_name,country_of_origin,Group,Level 1 Category,Level 2 Category,Level 3 Category
Nemea Monopati,"Aivalis from Greece, provided by Dionysos Imports Inc. Enjoy the unique taste and quality.",,1498737,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2259521/e38c99093ba4c949ecfe8.png?1650628652,,https://johnsonbrothers.storefronts.site/p/GTJB4,,,,Aivalis,Wine,Still,Red,,johnson brothers,Dionysos Imports Inc,Greece,Alcohol,Wine,Still,Red
Corinthia Dry Red Wine,"Apelia dry red complements perfectly red meat dishes such as streaks, roasts and game, and is a great accompaniment with pasta dishes.",,1865101,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2262441/dbd43882b7ef14b927b22.png?1650886953,,https://johnsonbrothers.storefronts.site/p/0LQZC,,,,Apelia,Wine,Still,Red,,johnson brothers,Prestige Beverage Group,Greece,Alcohol,Wine,Still,Red
Roditis Dry Rosé Wine,"Apelia rosé has a fine bouquet of strawberries, and a fresh fruity taste on the palate. It ideally complements snacks, salads, and all light meals.",,1860180,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2262436/98489c2eed9f5c201e5ff.png?1650886946,,https://johnsonbrothers.storefronts.site/p/62UQB,,,,Apelia,Wine,Still,Rosé,,johnson brothers,Prestige Beverage Group,Greece,Alcohol,Wine,Still,Rosé
Ouzo Aphrodite Liqueur,"The aperitif is produced from pure ingredients, aniseed and a number of the other sweet-smelling herbs and seeds. Its taste is dry and ripe, making the palate overflow with sensation.",,1863844,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2285051/f8a4129d0124245b8f376.png?1651822607,,https://johnsonbrothers.storefronts.site/p/E6PZ5,,,,Barbayanni,Spirit,Liqueur,Botanical,,johnson brothers,Prestige Beverage Group,Greece,Alcohol,Spirit,Liqueur,Botanical
Ouzo Blue,The sweet smell of aniseed and herbs gives the classic Barbayannis Blue Label Greek Ouzo a pleasant scent and a delicate flavour.,,1843601,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2285056/b349e4062e38855d9bec6.png?1651822623,,https://johnsonbrothers.storefronts.site/p/ZDL3Z,,,,Barbayanni,Spirit,Liqueur,Botanical,,johnson brothers,Prestige Beverage Group,Greece,Alcohol,Spirit,Liqueur,Botanical
Red Wine Mendoza,"Broke Ass from Argentina, provided by Prestige Beverage Group. Enjoy the unique taste and quality.",,1749575,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2318481/51e9f1f27a628bf0a691b.png?1654159303,,https://johnsonbrothers.storefronts.site/p/3B1FX,,,,Broke Ass,Wine,Still,Red,,johnson brothers,Prestige Beverage Group,Argentina,Alcohol,Wine,Still,Red
Côtes de Provence Rosé,"Champs de Provence from France, provided by Prestige Beverage Group. Enjoy the unique taste and quality.",,1540921,6,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2334934/174cb78e46c0d4446b761.png?1655104736,,https://johnsonbrothers.storefronts.site/p/APKFA,,,,Champs de Provence,Wine,Still,Rosé,,johnson brothers,Prestige Beverage Group,France,Alcohol,Wine,Still,Rosé
Cabernet Sauvignon Mendoza,"Conquista from Argentina, provided by Prestige Beverage Group. Enjoy the unique taste and quality.",,1298861,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2222117/a4878db9d9610f284d41c.png?1647265032,,https://johnsonbrothers.storefronts.site/p/S060Z,,,,Conquista,Wine,Still,Red,,johnson brothers,Prestige Beverage Group,Argentina,Alcohol,Wine,Still,Red
Malbec Mendoza,"Conquista Malbec is bright and fruity with plum, spice and red fruit aromas. It is full-bodied with good acidity and layers of blackberries and blueberries, hints of mocha and spice on the lingering finish.",,1561790,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2354753/d711fd3939b3e2bd08186.png?1655887422,,https://johnsonbrothers.storefronts.site/p/JJBQX,,,,Conquista,Wine,Still,Red,,johnson brothers,Prestige Beverage Group,Argentina,Alcohol,Wine,Still,Red
Malbec Oak Cask Mendoza,"Conquista from Argentina, provided by Prestige Beverage Group. Enjoy the unique taste and quality.",,1369019,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2222106/9aa74b1d7af4da458e480.png?1647265024,,https://johnsonbrothers.storefronts.site/p/RLL5O,,,,Conquista,Wine,Still,Red,,johnson brothers,Prestige Beverage Group,Argentina,Alcohol,Wine,Still,Red
