name,description,material,product_variants,sku,product_id,pack,size,gtin,retail_price,is_catch_weight,average_case_weight,image_url,manufacturer_sku,content_url,ordering_unit,is_broken_case,avg_case_weight,brand,1 category,2 category,3 category,4 category,product-category-style,manufacturer_name,distributor_name,supplier_name,country_of_origin,Group,Level 1 Category,Level 2 Category,Level 3 Category
"BRUSH FLAT 3"" POLYEST WHT W/RED COLLAR",Brush.,,,1120997,5b19c0e2-1423-4fd0-b604-c6c080da26ed,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1120997.JPG,,www.don.com/product/1120997,,,,Thermohauser Of America,Cleaning Products,Restroom_Bathroom,Miscellaneous,Restroom_Bath Care,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial Cleaning,Cleaning Chemicals
MAT URINAL P SHIELD BLK,Mat. Locks in and neutralizes 2-4x more urine than other mats. Date tabs remind you when to replace. Non-slip backing keeps mats in place.,,,1123528,3e7eba26-afe7-4d20-be02-5b25773d2b6d,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1123528.JPG,,www.don.com/product/1123528,,,,Fresh Products,Cleaning Products,Restroom_Bathroom,Miscellaneous,Restroom_Bath Care,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial Cleaning,Cleaning Chemicals
SCREEN URINAL TROUGH WAVE SPICED APPLE,"Urinal Screen. Splash-reducing screen for trough urinals in sports stadiums and other venues. Long, wide design—use one for standard size urinals or attach multiple screens together for wider urinals. Freshens itself for 30 days by releasing billions of optimized bacteria to keep the trough and restroom smelling fresh. Easy to correctly install; pull-off week and month tabs remind you when to change the screen. Made from environmentally friendly biodegradable, recycled raw materials.",,,1127915,d155db5a-5be4-410e-9200-9859f63750ca,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1127915.JPG,,www.don.com/product/1127915,,,,Fresh Products,Cleaning Products,Restroom_Bathroom,Deodorant Blocks_Screens,All Blocks_Screens,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial Cleaning,Cleaning Chemicals
SCREEN URINAL TROUGH WAVE MANGO,"Urinal Screen. Splash-reducing screen for trough urinals in sports stadiums and other venues. Long, wide design—use one for standard size urinals or attach multiple screens together for wider urinals. Freshens itself for 30 days by releasing billions of optimized bacteria to keep the trough and restroom smelling fresh. Easy to correctly install; pull-off week and month tabs remind you when to change the screen. Made from environmentally friendly biodegradable, recycled raw materials.",,,1127916,f7a3a103-f51c-4e35-920e-e734a335c331,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1127916.JPG,,www.don.com/product/1127916,,,,Fresh Products,Cleaning Products,Restroom_Bathroom,Deodorant Blocks_Screens,All Blocks_Screens,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial Cleaning,Cleaning Chemicals
SCREEN URINAL AIRWORKS PREMIER MANGO,Urinal Screen With Block. Uses SoftSpike™ technology to eliminate splash. Non-toxic and biodegradable enzyme block can be used in any state. Fragrances last 60 days.,,,1128137,71d22f4d-2d37-4ba4-a35b-801c0b23af53,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1128137.JPG,,www.don.com/product/1128137,,,,Hospeco,Cleaning Products,Restroom_Bathroom,Deodorant Blocks_Screens,All Blocks_Screens,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial Cleaning,Cleaning Chemicals
SCREEN URINAL AIRWORKS PREMIER CITRUS GR,Urinal Screen With Block. Uses SoftSpike™ technology to eliminate splash. Non-toxic and biodegradable enzyme block can be used in any state. Fragrances last 60 days.,,,1128138,7518c311-70d1-46fa-a506-5a70708dd7ee,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1128138.JPG,,www.don.com/product/1128138,,,,Hospeco,Cleaning Products,Restroom_Bathroom,Deodorant Blocks_Screens,All Blocks_Screens,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial Cleaning,Cleaning Chemicals
SCREEN URINAL AIRWORKS MANGO,Screen.,,,1129249,eaa5bb10-eb0d-4a6c-98be-3a7331c7ba28,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1129249.JPG,,www.don.com/product/1129249,,,,Hospeco,Cleaning Products,Restroom_Bathroom,Deodorant Blocks_Screens,All Blocks_Screens,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial Cleaning,Cleaning Chemicals
CLEANER URINAL SCALE AND ODOR 1 GAL,Urinal Cleaner.,,,1131085,e6076f48-1fda-4b9a-b2fd-7e9e30250a61,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1131085.JPG,,www.don.com/product/1131085,,,,Nyco Products,Cleaning Products,Restroom_Bathroom,Bowl_Urinal Cleaners,All Bowl_Urinal Cleaners,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial Cleaning,Cleaning Chemicals
DRAIN CONTROL BEVERAGE 64 OZ,drain control.,,,1146663,b57c0686-9847-4a48-a0b6-635da67eef86,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1146663.JPG,,www.don.com/product/1146663,,,,Ecolab,Cleaning Products,Restroom_Bathroom,Drain Cleaners_Openers,All Drain Cleaners,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial Cleaning,Cleaning Chemicals
SCREEN URINAL TIDAL WAVE SPICED APPLE,"Urinal Screen. Dual-sided design stops splash back. Lasts a full 60 days, reducing labor by 50%.. Individually wrapped so each screen stays fresh. Consumes odors and helps keep drains clean and clear.",,,1165015,78c7b3d9-d494-4d21-88fc-1f1b6c782913,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1165015.JPG,,www.don.com/product/1165015,,,,Fresh Products,Cleaning Products,Restroom_Bathroom,Deodorant Blocks_Screens,All Blocks_Screens,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial Cleaning,Cleaning Chemicals
