"name","description","material","product_variants","sku","product_id","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","level1 category","level2 category","level3 category","level4 category","product-category-style","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"RACK 16 COMP CUP GRY","Cup Rack.","Polypropylene","","1000269","c629fc00-1b4d-4b29-bfe3-fa60624855b1","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000269.JPG","","www.don.com/product/1000269","","","","Cambro Manufacturing","Equipment","Warewash_Clean Up","Warewash Racks","Cup Dish Racks","","","Edward don","",""
"RACK GLASS W/EXTNDR FULL SZ 9","Glass Rack.","Polypropylene","","1000810","b15f1338-f191-4a55-a291-385a32a4ac7e","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000810.JPG","","www.don.com/product/1000810","","","","Cambro Manufacturing","Equipment","Warewash_Clean Up","Warewash Racks","Glass Racks","","","Edward don","",""
"RACK GLASS 2 EXT FULL SZ 9 COMP","Glass Rack.","Polypropylene","","1000812","145db90f-7846-4ab5-8b8f-71e9c9dc89e5","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000812.JPG","","www.don.com/product/1000812","","","","Cambro Manufacturing","Equipment","Warewash_Clean Up","Warewash Racks","Glass Racks","","","Edward don","",""
"RACK 16 COMP BLK WITH WINE CLIPS","Camrack.","Polypropylene","","1001680","8b569edb-ace6-4d38-a2a7-e14001617014","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001680.JPG","","www.don.com/product/1001680","","","","Cambro Manufacturing","Equipment","Warewash_Clean Up","Warewash Racks","Glass Racks","","","Edward don","",""
"RACK 16 COM GRY W/2 RED EXT","Glass Rack.","Polyethylene","","1001841","5a2651a6-96e6-42a3-86b5-0d03803d6603","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001841.JPG","","www.don.com/product/1001841","","","","Cambro Manufacturing","Equipment","Warewash_Clean Up","Warewash Racks","Glass Racks","","","Edward don","",""
"RACK 16 COMP BLU W/2 NAVY BLU EXT","Glass Rack w/2 Extenders.","Polypropylene","","1001938","f68d6af8-19e5-4677-a382-f8075a320016","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001938.JPG","","www.don.com/product/1001938","","","","Cambro Manufacturing","Equipment","Warewash_Clean Up","Warewash Racks","Glass Racks","","","Edward don","",""
"RACK 25 COMP GRN W/GRN EXT","Glass Rack w/Extender.","Polypropylene","","1001939","01e58e87-27c5-4bf0-9e50-fc9f98167d12","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001939.JPG","","www.don.com/product/1001939","","","","Cambro Manufacturing","Equipment","Warewash_Clean Up","Warewash Racks","Glass Racks","","","Edward don","",""
"RACK 25 COMP GRY W/4 TEAL EXT","Glass Rack w/4 Extenders.","Polypropylene","","1001940","86d36a62-9651-4366-872a-45a2c8fdbe99","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001940.JPG","","www.don.com/product/1001940","","","","Cambro Manufacturing","Equipment","Warewash_Clean Up","Warewash Racks","Glass Racks","","","Edward don","",""
"RACK 36 COMP W/3 EXT BRN","Glass Rack w/3 Extenders.","Polypropylene","","1001941","9d12a791-765b-410a-83db-146ede252c86","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001941.JPG","","www.don.com/product/1001941","","","","Cambro Manufacturing","Equipment","Warewash_Clean Up","Warewash Racks","Glass Racks","","","Edward don","",""
"RACK 36 COMP W/3 BGE EXT","Glass Rack w/3 Extenders.","Polypropylene","","1001942","ba4598c2-2840-4aca-85bc-2da31db6ac13","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001942.JPG","","www.don.com/product/1001942","","","","Cambro Manufacturing","Equipment","Warewash_Clean Up","Warewash Racks","Glass Racks","","","Edward don","",""
