"name","description","material","product_variants","sku","product_id","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","level1 category","level2 category","level3 category","level4 category","product-category-style","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"RANGE RESTAURANT 24"" GAS","G Series Restaurant Range. Expanded 27"" cooking surface depth with individual cast iron grates. Exclusive Starfire-Pro 33,000 Btu, cast iron burner combines speed with precise, even heat for improved efficiency and control. Fully porcelain oven interior, including top, bottom, sides, back, and door liner—stay cool, sure grip handle door. Large, flexible oven cavity loads full size sheet pans in either direction—equipped with a 38,000 Btu cast iron burner.","Stainless Steel","","1000042","8ad67d67-dc11-4b86-8f15-c02e0f921ac3","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000042.JPG","","www.don.com/product/1000042","","","","Garland Commercial Industries","Equipment","Cooking Equipment","Ranges_Stoves","Restaurant Ranges","","","Edward don","",""
"BROILER SALAMANDER 36"" GAS","G Series Restaurant Range Infr. Expanded 27"" cooking surface depth with individual cast iron grates. Exclusive Starfire-Pro 33,000 Btu, cast iron burner combines speed with precise, even heat for improved efficiency and control. Fully porcelain oven interior, including top, bottom, sides, back, and door liner—stay cool, sure grip handle door. Large, flexible oven cavity loads full size sheet pans in either direction—equipped with a 38,000 Btu cast iron burner.","Stainless Steel","","1000043","6905ab00-5f93-4803-ae81-59b64d0ec43a","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000043.JPG","","www.don.com/product/1000043","","","","Garland Commercial Industries","Equipment","Cooking Equipment","Broilers","Salamanders_Cheese Melters","","","Edward don","",""
"CHARBROILER COUNTERTOP 24"" GAS","Charbroilter.","Stainless Steel","","1000047","8216f78a-46b9-4e86-a148-2904979549be","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000047.JPG","","www.don.com/product/1000047","","","","Garland Commercial Industries","Equipment","Cooking Equipment","Char Broilers","Countertop Char Broilers","","","Edward don","",""
"CHEESEMELTER INFRARED 48"" GAS","Cheesemelter. Infrared burners with constant pilot for instant lighting. Stainless steel fron, side, and top. Removable, chrome-plated wire rack. Range, wall, or counter mounted (wall mount required optional kit).","Stainless Steel","","1000048","3abc8c87-6f24-49b1-aa64-5acb6c60f014","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000048.JPG","","www.don.com/product/1000048","","","","Garland Commercial Industries","Equipment","Cooking Equipment","Broilers","Salamanders_Cheese Melters","","","Edward don","",""
"OVEN CONVECTION 39"" ELEC 460V","Convection Oven.","Stainless Steel","","1000049","5a12374d-d459-4798-a513-ce7e3a9ef7d5","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000049.JPG","","www.don.com/product/1000049","","","","Garland Commercial Industries","Equipment","Cooking Equipment","Ovens","Convection Ovens","","","Edward don","",""
"OVEN CONVECTION 29X29 GAS DD","Covection Oven.","Stainless Steel","","1000050","b4de3a99-abf3-43ca-b64b-0049a24b6968","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000050.JPG","","www.don.com/product/1000050","","","","Garland Commercial Industries","Equipment","Cooking Equipment","Ovens","Convection Ovens","","","Edward don","",""
"CHARBROILER COUNTERTOP 24"" GAS","Charbroiler.","Stainless Steel","","1000051","9eb9952d-0da9-4f38-ad3e-1b252961945d","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000051.JPG","","www.don.com/product/1000051","","","","Garland Commercial Industries","Equipment","Cooking Equipment","Char Broilers","Countertop Char Broilers","","","Edward don","",""
"CHARBROILER COUNTERTOP 36"" GAS","Charbroiler.","Stainless Steel","","1000052","20852846-6843-4864-bbaf-dbae158ebd9d","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000052.JPG","","www.don.com/product/1000052","","","","Garland Commercial Industries","Equipment","Cooking Equipment","Char Broilers","Countertop Char Broilers","","","Edward don","",""
"CHARBROILER COUNTERTOP 36"" GAS","Charbroiler.","Stainless Steel","","1000053","8129713e-d80a-4a50-a6f3-7cefec69706a","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000053.JPG","","www.don.com/product/1000053","","","","Garland Commercial Industries","Equipment","Cooking Equipment","Char Broilers","Countertop Char Broilers","","","Edward don","",""
"CHARBROILER COUNTERTOP 48"" GAS","Charbroiler.","Stainless Steel","","1000055","b08ef425-59ab-48a1-a7fb-d3b0b9c3c09c","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000055.JPG","","www.don.com/product/1000055","","","","Garland Commercial Industries","Equipment","Cooking Equipment","Char Broilers","Countertop Char Broilers","","","Edward don","",""
"CHARBROILER COUNTERTOP 24"" GAS","Charbroiler.","Stainless Steel","","1000056","37d64497-1738-48ee-9361-6d707378144e","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000056.JPG","","www.don.com/product/1000056","","","","Garland Commercial Industries","Equipment","Cooking Equipment","Char Broilers","Countertop Char Broilers","","","Edward don","",""
"CHARBROILER COUNTERTOP 36"" GAS","Charbroiler.","Stainless Steel","","1000057","0b8b16ce-3e60-48f2-9ecc-cfeaa64ee081","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000057.JPG","","www.don.com/product/1000057","","","","Garland Commercial Industries","Equipment","Cooking Equipment","Char Broilers","Countertop Char Broilers","","","Edward don","",""
"CHARBROILER COUNTERTOP 48"" GAS","Charbroiler.","Stainless Steel","","1000058","f5c07e41-0650-4968-b845-bc3a227bc959","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000058.JPG","","www.don.com/product/1000058","","","","Garland Commercial Industries","Equipment","Cooking Equipment","Char Broilers","Countertop Char Broilers","","","Edward don","",""
"CHEESEMELTER COUNTERTOP 36"" GAS","Cheesemelter. Infrared burners with constant pilot for instant lighting. Stainless steel front, side, and top. Removable, chrome-plated wire rack. Range, wall, or counter mounted (wall mount required optional kit).","Stainless Steel","","1000059","ab3c95f3-6e10-49ad-8445-002491c27eb8","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000059.JPG","","www.don.com/product/1000059","","","","Garland Commercial Industries","Equipment","Cooking Equipment","Broilers","Salamanders_Cheese Melters","","","Edward don","",""
"CHARBROILER COUNTERTOP 48"" GAS","Charbroiler.","Stainless Steel","","1000060","6b6d6bd1-3907-4ae6-9a70-fd343745443e","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000060.JPG","","www.don.com/product/1000060","","","","Garland Commercial Industries","Equipment","Cooking Equipment","Char Broilers","Countertop Char Broilers","","","Edward don","",""
"GRIDDLE COUNTERTOP 24"" GAS","Griddle. Stainless steel construction, 14-gauge splash guard, aluminum steel burners every 12"" with 24,000 Btu/hr per burner. Large capacity, removable grease container; 4"" legs with adjustable feet. 1-year parts and labor warranty; 110V required for thermostats; cord and plug included.","Stainless Steel","","1000061","b1459b62-f976-4e12-9699-e72ac43bb154","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000061.JPG","","www.don.com/product/1000061","","","","Garland Commercial Industries","Equipment","Cooking Equipment","Griddles","Countertop Griddles","","","Edward don","",""
"GRIDDLE COUNTERTOP 36"" GAS","Griddle. Stainless steel construction, 14-gauge splash guard, aluminum steel burners every 12"" with 24,000 Btu/hr per burner. Large capacity, removable grease container; 4"" legs with adjustable feet. 1-year parts and labor warranty; 110V required for thermostats; cord and plug included.","Stainless Steel","","1000062","2399f732-58e5-4d78-9ba0-1000ed2c6a99","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000062.JPG","","www.don.com/product/1000062","","","","Garland Commercial Industries","Equipment","Cooking Equipment","Griddles","Countertop Griddles","","","Edward don","",""
"GRIDDLE COUNTERTOP 48"" GAS","Griddle. Stainless steel construction, 14-gauge splash guard, aluminum steel burners every 12"" with 24,000 Btu/hr per burner. Large capacity, removable grease container; 4"" legs with adjustable feet. 1-year parts and labor warranty; 110V required for thermostats; cord and plug included.","Stainless Steel","","1000063","57d27fb1-6325-4eea-8313-ce4e1f40ca11","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000063.JPG","","www.don.com/product/1000063","","","","Garland Commercial Industries","Equipment","Cooking Equipment","Griddles","Countertop Griddles","","","Edward don","",""
"BROILER SALAMANDER 36"" INFRARED","U Series Restaurant Range Infr. Medium-duty ranges with a choice of different top arrangements and one or two ovens—designed to accommodate a variety of needs. Stainless steel front, sides, detachable high shelf and riser 6"" adjustable legs. Cast iron open burners are 30,000 Btu with 1-piece lift top grate includes aluminized drip pan. Each oven is 35,000 Btu with an adjustable thermostat from 150°F to 500° F includes 1 oven rack with 3 positions and heavy-duty ""keep-cool"" door handles. Griddle is a 5/8"" thick steel plate with manual controls 24,000 Btu burners—1 every 12"". 1-year parts and labor warranty specify natural or propane gas when ordering.","Stainless Steel","","1000069","c85f487b-fa0d-4260-ba96-0efbb551477f","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000069.JPG","","www.don.com/product/1000069","","","","Garland Commercial Industries","Equipment","Cooking Equipment","Broilers","Salamanders_Cheese Melters","","","Edward don","",""
"SHELF GRID 1/2 SZ WIRE SS","Grid Shelf.","Stainless Steel","","1000098","b8ad2983-0f5c-42ff-af28-a92d02385ed9","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000098.JPG","","www.don.com/product/1000098","","","","Rational Cooking Systems","Equipment","Cooking Equipment","Miscellaneous","Cooking Equipment","","","Edward don","",""
"STEAMER CONVECTION 2 COMP ELEC","Convection Steamer.","","","1000124","5004fa7b-163d-4e2e-81b8-f330830d9de5","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000124.JPG","","www.don.com/product/1000124","","","","Cleveland Range LLC","Equipment","Cooking Equipment","Steamers","Pressure Steamers","","","Edward don","",""
"RANGE ECONOMY 60"" NAT 6 BURNER","Range.","Stainless Steel","","1000240","988aaef2-b82e-4600-ad2f-352a1a268a9b","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000240.JPG","","www.don.com/product/1000240","","","","Vulcan Food Equipment Group","Equipment","Cooking Equipment","Ranges_Stoves","Restaurant Ranges","","","Edward don","",""
"FRYER 65-70 LB FLOOR ECONOMY NAT","Gas Fryer.","Stainless Steel","","1000311","cd82fb33-66d7-4269-a2de-9c87aeadf941","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000311.JPG","","www.don.com/product/1000311","","","","Vulcan Food Equipment Group","Equipment","Cooking Equipment","Fryers","Floor Fryers","","","Edward don","",""
"KIT STACKING MODEL 6.10-6.20","Stacking Kit Electric Combi Ov.","","","1000320","6ed13714-aec3-4577-81e1-7afd960d23e7","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000320.JPG","","www.don.com/product/1000320","","","","Cleveland Range LLC","Equipment","Cooking Equipment","Miscellaneous","Cooking Equipment","","","Edward don","",""
"KIT STACKING MODEL 6.1-6.2 GAS","Stacking Kit gas 6.1-6.2 model.","","","1000321","d55cb7d1-1bb5-486a-b831-7dddfdace8db","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000321.JPG","","www.don.com/product/1000321","","","","Cleveland Range LLC","Equipment","Cooking Equipment","Miscellaneous","Cooking Equipment","","","Edward don","",""
"KIT STACKING OEB 6.1-6.2 ELEC","Stacking Kit OEB 6.1-6.2 combi.","","","1000323","0ccac676-6755-424e-92cf-e29ccf4bc989","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000323.JPG","","www.don.com/product/1000323","","","","Cleveland Range LLC","Equipment","Cooking Equipment","Miscellaneous","Cooking Equipment","","","Edward don","",""
"KETTLE TILT STEAM JACK","Steam Jacketed Kettle.","","","1000325","5545eb9d-7e6f-4df5-bc57-92b2d155c570","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000325.JPG","","www.don.com/product/1000325","","","","Cleveland Range LLC","Equipment","Cooking Equipment","Steam Jacketed Kettles","Floor Kettles","","","Edward don","",""
"RANGE 6 BURNER 2 OVEN 60"" NAT","Range.","Stainless Steel","","1000341","88e24e06-6faf-4c18-94a9-1a014183f860","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000341.JPG","","www.don.com/product/1000341","","","","Vulcan Food Equipment Group","Equipment","Cooking Equipment","Ranges_Stoves","Heavy Duty Ranges","","","Edward don","",""
"RANGE 6 BURNER 2 OVEN 60"" NAT","Range.","Stainless Steel","","1000342","65d890b8-a9cc-400f-a189-cb75f6bc9eea","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000342.JPG","","www.don.com/product/1000342","","","","Vulcan Food Equipment Group","Equipment","Cooking Equipment","Ranges_Stoves","Heavy Duty Ranges","","","Edward don","",""
"RANG 10 BURNER 2 OVEN 60"" LP","Range.","Stainless Steel","","1000343","af65db6b-a15b-4bf1-beb5-789d0930b2dd","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000343.JPG","","www.don.com/product/1000343","","","","Vulcan Food Equipment Group","Equipment","Cooking Equipment","Ranges_Stoves","Heavy Duty Ranges","","","Edward don","",""
"RANGE 6 BURNER 2 OVEN 60"" NAT","Range.","Stainless Steel","","1000344","36dbe858-c6b0-4cdc-8382-54369fdd806a","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000344.JPG","","www.don.com/product/1000344","","","","Vulcan Food Equipment Group","Equipment","Cooking Equipment","Ranges_Stoves","Restaurant Ranges","","","Edward don","",""
"COVER KETTLE SPRING ASSIT 40 GL","Spring ASsisted Cover.","","","1000384","e3a83f2e-a9ea-4c24-8588-dd12b9efb49f","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000384.JPG","","www.don.com/product/1000384","","","","Cleveland Range LLC","Equipment","Cooking Equipment","Steam Jacketed Kettles","Floor Kettles","","","Edward don","",""
