"name","description","material","product_variants","sku","product_id","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","level1 category","level2 category","level3 category","level4 category","product-category-style","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"CANDLE PILLAR 9X3"" WAX WHT","Pillar Candle. Compression molded, over-dipped outer shell.. Available in a range of sizes and colors. Unscented. Hard outer shell promotes ""tunneling"" which creates the ideal, dripless candle experience. Mix & match sizes for more interesting arrangements. Candles do not interfere with dining room aromas.","Wax","","1004763","2b838bc4-fd9d-4291-87ae-581dda14a3e1","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1004763.JPG","","www.don.com/product/1004763","","","","Hollowick","Table Service","Candles_Table Lamps","Wax Candles","Contemporary Candles","","","Edward don","",""
"CANDLE PILLAR 3X3"" WAX WHT","Pillar Candle. Compression molded, over-dipped outer shell.. Available in a range of sizes and colors. Unscented. Hard outer shell promotes ""tunneling"" which creates the ideal, dripless candle experience. Mix & match sizes for more interesting arrangements. Candles do not interfere with dining room aromas.","Wax","","1004764","dc340768-3195-4318-90a4-a908cf3bd189","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1004764.JPG","","www.don.com/product/1004764","","","","Hollowick","Table Service","Candles_Table Lamps","Wax Candles","Contemporary Candles","","","Edward don","",""
"CANDLE PILLAR 6X3"" WAX WHT","Pillar Candle. Compression molded, over-dipped outer shell.. Available in a range of sizes and colors. Unscented. Hard outer shell promotes ""tunneling"" which creates the ideal, dripless candle experience. Mix & match sizes for more interesting arrangements. Candles do not interfere with dining room aromas.","Wax","","1004765","3903a56d-c8c3-4f18-8b1e-7edc217244ec","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1004765.JPG","","www.don.com/product/1004765","","","","Hollowick","Table Service","Candles_Table Lamps","Wax Candles","Contemporary Candles","","","Edward don","",""
"FUEL VOTIVE LIQUID 12 HR DISPOSABLE","Fuel.","Liquid Wax","","1004768","c95f9ab6-9040-4be3-9346-2fa740226d6f","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1004768.JPG","","www.don.com/product/1004768","","","","Hollowick","Table Service","Candles_Table Lamps","Liquid Wax","Liquid Wax Cartridges","","","Edward don","",""
"LAMP CYLINDER 2-7/8X4-5/8"" GLASS CLR","Cylinder Lamp.","Glass","","1008136","c1d913b5-c216-491c-b2b8-53605e947cf9","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1008136.JPG","","www.don.com/product/1008136","","","","Hollowick","Table Service","Candles_Table Lamps","Table Lamps","Holders","","","Edward don","",""
"FUEL CELL DISPOSABLE 26 HOUR PLAS CLR","Disposable Fuel Cell.","Plastic","","1008137","8976d79b-747e-4eac-b793-928e39c566b0","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1008137.JPG","","www.don.com/product/1008137","","","","Hollowick","Table Service","Candles_Table Lamps","Liquid Wax","Liquid Wax Cartridges","","","Edward don","",""
"CARTRIDGE CANDLE 5-3/4"" WAX WHT","Cartridge Candles.","Wax","","1009602","ced8a6f8-3d23-4957-b012-dcde35150f5f","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1009602.JPG","","www.don.com/product/1009602","","","","Hollowick","Table Service","Candles_Table Lamps","Miscellaneous","Candles_Table Lamps","","","Edward don","",""
"LAMP TEALIGHT 2-1/2"" GLASS CLR","Tealight Lamp.","Glass","","1012053","3a412796-1fbb-4e7e-8559-b37803b54882","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1012053.JPG","","www.don.com/product/1012053","","","","Hollowick","Table Service","Candles_Table Lamps","Table Lamps","Other Lamps","","","Edward don","",""
"VOTIVE CUBE 3"" GLASS CLR","Cube Votive. Cube shaped.","Glass","","1012216","d1223e75-28a5-4aff-b506-847ae405b52e","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1012216.JPG","","www.don.com/product/1012216","","","","Libbey Glass","Table Service","Candles_Table Lamps","Candlestick Holders","All Candlestick Holders","","","Edward don","",""
"LAMP VOTIVE 3-9/16X3"" RUBY JEWEL GLASS","Votive Lamp. Jewel finish glass delivers dramatic, ambient sparkle. 8-Hour and 15-Hour liquid candle recommended.","Glass","","1013056","06ffdf16-edb6-4f25-85fa-b4926bfdc8bd","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1013056.JPG","","www.don.com/product/1013056","","","","Hollowick","Table Service","Candles_Table Lamps","Table Lamps","Holders","","","Edward don","",""
"HOLDER CANDLE STICK 4"" GLASS CLR","Candle Stick Holder.","Glass","","1013345","0d9f145b-fbd3-469f-a9d0-01ea655d36db","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1013345.JPG","","www.don.com/product/1013345","","","","Libbey Glass","Table Service","Candles_Table Lamps","Candlestick Holders","All Candlestick Holders","","","Edward don","",""
"LAMP ANGLE LIGHT CANDLE GLASS CLEAR","Candle Lamp.","Glass","","1015520","081ddced-6014-481b-b94b-d326b6fbd640","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1015520.JPG","","www.don.com/product/1015520","","","","Lancaster Commercial Products","Table Service","Candles_Table Lamps","Table Lamps","Other Lamps","","","Edward don","",""
