description,sku,pack,size,gtin,name,retail_price,is_catch_weight,average_case_weight,image,manufacturer_sku,ordering_unit,is_broken_case,content_url,brand,level_1,level_2,level_3,manufacturer_name,distributor_name,unit_price,extra_data
"Peeled garlic refers to garlic cloves that have been removed from their skin. Garlic is a common ingredient used in many dishes to add flavor and aroma. Peeled garlic saves time and effort compared to manually peeling garlic cloves, making it a popular ingredient in many kitchens.",SW21500,,4x5 LB BC,,Peeled Garlic,,,,https://www.chefswarehouse.com/siteassets/pim-images/fresh-cut-vegetables/sw21500_0.jpg,,,,https://www.chefswarehouse.com/products/SW21500/,PACKER,,,,,Chefs' Warehouse,,"{""storage_type"":""Refrigerated"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/fresh-cut-vegetables/sw21500_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":""sdf"",""category"":""Fresh Cut Vegetables"",""sub-category"":""Fresh Cut Produce"",""sub-sub-category"":""Fresh Cut Vegetables"",""supplier_name"":"""",""country_of_origin"":""CHINA, SPAIN, ARGENTINA"",""product_variants"":[{""code"":""JDE_SW21500-200001"",""metadata"":{""unitOfMeasure"":""CS"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Case"",""weight"":""4x5 LB BC"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""SW21500""}},{""field"":""product.uom"",""prefill"":{""value"":""Case"",""options"":[{""text"":""Case"",""value"":""Case""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_SW21500-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""4x5 LB BC""}}],""businessUnit"":""200001""},{""code"":""JDE_SW21500-200001"",""metadata"":{""unitOfMeasure"":""PC"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Piece"",""weight"":""4x5 LB BC"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""SW21500""}},{""field"":""product.uom"",""prefill"":{""value"":""Piece"",""options"":[{""text"":""Piece"",""value"":""Piece""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_SW21500-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""4x5 LB BC""}}],""businessUnit"":""200001""}]}"
"Shallots are in the same family as garlic and onions, and are made of petite violet bulbs with crisp white flesh wrapped in papery skin. Shallots can have up to three bulbs per segment and their flesh is aromatic and savory when raw but develops to a more delicate, sweet flavor when cooked. These shallots come peeled to save prep time.",SW30650,,4x1 Gallon BC,,Peeled Shallots,,,,"https://www.chefswarehouse.com/siteassets/pim-images/onions,-shallots-leeks/sw30650_0.jpg",,,,https://www.chefswarehouse.com/products/SW30650/,PACKER,,,,,Chefs' Warehouse,,"{""storage_type"":""Refrigerated"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/onions,-shallots-leeks/sw30650_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":""sdf"",""category"":""Fresh Cut Vegetables"",""sub-category"":""Fresh Cut Vegetables"",""sub-sub-category"":""Onions, Shallots & Leeks"",""supplier_name"":"""",""country_of_origin"":""Canada, Netherlands"",""product_variants"":[{""code"":""JDE_SW30650-200001"",""metadata"":{""unitOfMeasure"":""CS"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Case"",""weight"":""4x1 Gallon BC"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""SW30650""}},{""field"":""product.uom"",""prefill"":{""value"":""Case"",""options"":[{""text"":""Case"",""value"":""Case""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_SW30650-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""4x1 Gallon BC""}}],""businessUnit"":""200001""},{""code"":""JDE_SW30650-200001"",""metadata"":{""unitOfMeasure"":""PC"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Piece"",""weight"":""4x1 Gallon BC"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""SW30650""}},{""field"":""product.uom"",""prefill"":{""value"":""Piece"",""options"":[{""text"":""Piece"",""value"":""Piece""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_SW30650-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""4x1 Gallon BC""}}],""businessUnit"":""200001""}]}"
"Carrots have bright orange, crisp flesh with quintessentially earthy and sweet flavors. These carrots come shredded to save prep time.",SW60150,,4x5 LB BC,,"1/8"" Shredded Carrots",,,,https://www.chefswarehouse.com/siteassets/pim-images/carrots/sw60150_0.jpg,,,,https://www.chefswarehouse.com/products/SW60150/,PACKER,,,,,Chefs' Warehouse,,"{""storage_type"":""Refrigerated"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/carrots/sw60150_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":""sdf"",""category"":""Fresh Cut Vegetables"",""sub-category"":""Fresh Cut Vegetables"",""sub-sub-category"":""Carrots"",""supplier_name"":"""",""country_of_origin"":""United States"",""product_variants"":[{""code"":""JDE_SW60150-200001"",""metadata"":{""unitOfMeasure"":""CS"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Case"",""weight"":""4x5 LB BC"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""SW60150""}},{""field"":""product.uom"",""prefill"":{""value"":""Case"",""options"":[{""text"":""Case"",""value"":""Case""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_SW60150-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""4x5 LB BC""}}],""businessUnit"":""200001""},{""code"":""JDE_SW60150-200001"",""metadata"":{""unitOfMeasure"":""PC"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Piece"",""weight"":""4x5 LB BC"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""SW60150""}},{""field"":""product.uom"",""prefill"":{""value"":""Piece"",""options"":[{""text"":""Piece"",""value"":""Piece""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_SW60150-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""4x5 LB BC""}}],""businessUnit"":""200001""}]}"
"Broccoli florets are small, bite-sized pieces of broccoli that have been removed from the stem and are often used in a variety of recipes, including salads, stir-fries, and soups. They are rich in vitamins and minerals, particularly vitamin C and vitamin K, as well as dietary fiber. Broccoli florets can be eaten raw or cooked and are versatile and easy to incorporate into a wide range of dishes. They have a mild, slightly sweet flavor and a slightly crunchy texture when raw, and become tender and soft when cooked.",SW14410,,4x3 LB BC,,Split Broccoli Florets,,,,https://www.chefswarehouse.com/siteassets/pim-images/fresh-cut-vegetables/sw14410_0.jpg,,,,https://www.chefswarehouse.com/products/SW14410/,PACKER,,,,PACKER,Chefs' Warehouse,,"{""storage_type"":""Refrigerated"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/fresh-cut-vegetables/sw14410_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":""sdf"",""category"":""Fresh Cut Vegetables"",""sub-category"":""Fresh Cut Produce"",""sub-sub-category"":""Fresh Cut Vegetables"",""supplier_name"":"""",""country_of_origin"":""United States"",""product_variants"":[{""code"":""JDE_SW14410-200001"",""metadata"":{""unitOfMeasure"":""CS"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Case"",""weight"":""4x3 LB BC"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""SW14410""}},{""field"":""product.uom"",""prefill"":{""value"":""Case"",""options"":[{""text"":""Case"",""value"":""Case""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_SW14410-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""4x3 LB BC""}}],""businessUnit"":""200001""},{""code"":""JDE_SW14410-200001"",""metadata"":{""unitOfMeasure"":""PC"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Piece"",""weight"":""4x3 LB BC"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""SW14410""}},{""field"":""product.uom"",""prefill"":{""value"":""Piece"",""options"":[{""text"":""Piece"",""value"":""Piece""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_SW14410-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""4x3 LB BC""}}],""businessUnit"":""200001""}]}"
"Cole slaw is a type of salad made from shredded cabbage and sometimes other vegetables like carrots, onions, or peppers. The vegetables are typically mixed with a dressing, often made from mayonnaise or vinegar, and sometimes with added herbs and spices. Cole slaw is a popular side dish in many cuisines and is often served with grilled or fried foods, such as burgers, hot dogs, or fried chicken. It can also be used as a topping for sandwiches, tacos, or wraps.",SW17450,,4x5 LB BC,,Coleslaw Salad,,,,https://www.chefswarehouse.com/siteassets/pim-images/fresh-cut-vegetables/sw17450_0.jpg,,,,https://www.chefswarehouse.com/products/SW17450/,PACKER,,,,,Chefs' Warehouse,,"{""storage_type"":""Refrigerated"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/fresh-cut-vegetables/sw17450_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":""sdf"",""category"":""Fresh Cut Vegetables"",""sub-category"":""Fresh Cut Produce"",""sub-sub-category"":""Fresh Cut Vegetables"",""supplier_name"":"""",""country_of_origin"":""United States"",""product_variants"":[{""code"":""JDE_SW17450-200001"",""metadata"":{""unitOfMeasure"":""CS"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Case"",""weight"":""4x5 LB BC"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""SW17450""}},{""field"":""product.uom"",""prefill"":{""value"":""Case"",""options"":[{""text"":""Case"",""value"":""Case""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_SW17450-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""4x5 LB BC""}}],""businessUnit"":""200001""},{""code"":""JDE_SW17450-200001"",""metadata"":{""unitOfMeasure"":""PC"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Piece"",""weight"":""4x5 LB BC"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""SW17450""}},{""field"":""product.uom"",""prefill"":{""value"":""Piece"",""options"":[{""text"":""Piece"",""value"":""Piece""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_SW17450-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""4x5 LB BC""}}],""businessUnit"":""200001""}]}"
"Butternut squash has rich, tender, golden-orange flesh with a creamy flavor and texture. This butternut squash comes diced to save prep time.",SW32600,,4x5 LB BC,,"1/2"" Diced Butternut Squash",,,,https://www.chefswarehouse.com/siteassets/pim-images/squash/sw32600_0.jpg,,,,https://www.chefswarehouse.com/products/SW32600/,PACKER,,,,,Chefs' Warehouse,,"{""storage_type"":""Refrigerated"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/squash/sw32600_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":""sdf"",""category"":""Fresh Cut Vegetables"",""sub-category"":""Fresh Cut Vegetables"",""sub-sub-category"":""Squash"",""supplier_name"":"""",""country_of_origin"":""United States"",""product_variants"":[{""code"":""JDE_SW32600-200001"",""metadata"":{""unitOfMeasure"":""CS"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Case"",""weight"":""4x5 LB BC"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""SW32600""}},{""field"":""product.uom"",""prefill"":{""value"":""Case"",""options"":[{""text"":""Case"",""value"":""Case""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_SW32600-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""4x5 LB BC""}}],""businessUnit"":""200001""},{""code"":""JDE_SW32600-200001"",""metadata"":{""unitOfMeasure"":""PC"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Piece"",""weight"":""4x5 LB BC"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""SW32600""}},{""field"":""product.uom"",""prefill"":{""value"":""Piece"",""options"":[{""text"":""Piece"",""value"":""Piece""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_SW32600-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""4x5 LB BC""}}],""businessUnit"":""200001""}]}"
,SW21420,,4x5 LB BC,,Garlic,,,,https://www.chefswarehouse.com/siteassets/pim-images/fresh-cut-vegetables/sw21420_0.jpg,,,,https://www.chefswarehouse.com/products/SW21420/,PACKER,,,,,Chefs' Warehouse,,"{""storage_type"":""Refrigerated"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/fresh-cut-vegetables/sw21420_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":""sdf"",""category"":""Fresh Cut Vegetables"",""sub-category"":""Fresh Cut Produce"",""sub-sub-category"":""Fresh Cut Vegetables"",""supplier_name"":"""",""country_of_origin"":""United States"",""product_variants"":[{""code"":""JDE_SW21420-200001"",""metadata"":{""unitOfMeasure"":""CS"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Case"",""weight"":""4x5 LB BC"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""SW21420""}},{""field"":""product.uom"",""prefill"":{""value"":""Case"",""options"":[{""text"":""Case"",""value"":""Case""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_SW21420-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""4x5 LB BC""}}],""businessUnit"":""200001""},{""code"":""JDE_SW21420-200001"",""metadata"":{""unitOfMeasure"":""PC"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Piece"",""weight"":""4x5 LB BC"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""SW21420""}},{""field"":""product.uom"",""prefill"":{""value"":""Piece"",""options"":[{""text"":""Piece"",""value"":""Piece""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_SW21420-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""4x5 LB BC""}}],""businessUnit"":""200001""}]}"
"Cauliflower is made of tightly bound clusters of florets attached to a central white trunk, forming a dense head similar to that of broccoli. Cauliflower florets have a dense yet soft, crumbly texture and a mild cruciferous flavor that is slightly bitter when eaten raw but develops sweet, nutty nuances when cooked.",SW18400,,4 x 3 LB Case,,Cauliflower Florets,,,,https://www.chefswarehouse.com/siteassets/pim-images/cauliflower/sw18400_0.jpg,,,,https://www.chefswarehouse.com/products/SW18400/,PACKER,,,,TRUE LEAF,Chefs' Warehouse,,"{""storage_type"":""Refrigerated"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/cauliflower/sw18400_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":""sdf"",""category"":""Fresh Cut Vegetables"",""sub-category"":""Fresh Cut Vegetables"",""sub-sub-category"":""Cauliflower"",""supplier_name"":"""",""country_of_origin"":""United States"",""product_variants"":[{""code"":""JDE_SW18400-200001"",""metadata"":{""unitOfMeasure"":""CS"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Case"",""weight"":""4 x 3 LB Case"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""SW18400""}},{""field"":""product.uom"",""prefill"":{""value"":""Case"",""options"":[{""text"":""Case"",""value"":""Case""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_SW18400-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""4 x 3 LB Case""}}],""businessUnit"":""200001""},{""code"":""JDE_SW18400-200001"",""metadata"":{""unitOfMeasure"":""PC"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Piece"",""weight"":""4 x 3 LB Case"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""SW18400""}},{""field"":""product.uom"",""prefill"":{""value"":""Piece"",""options"":[{""text"":""Piece"",""value"":""Piece""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_SW18400-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""4 x 3 LB Case""}}],""businessUnit"":""200001""}]}"
"Cipollini onions are petite and saucer-shaped with dry, papery white skin enveloping translucent white flesh. Cipollini onions are crisp, sweet and slightly pungent in both aroma and flavor. These onions come peeled to save prep time.",SW25560,,4x5 LB BC,,Cipollini Onions,,,,"https://www.chefswarehouse.com/siteassets/pim-images/onions,-shallots-leeks/sw25560_0.jpg",,,,https://www.chefswarehouse.com/products/SW25560/,PACKER,,,,,Chefs' Warehouse,,"{""storage_type"":""Refrigerated"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/onions,-shallots-leeks/sw25560_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":""sdf"",""category"":""Fresh Cut Vegetables"",""sub-category"":""Fresh Cut Vegetables"",""sub-sub-category"":""Onions, Shallots & Leeks"",""supplier_name"":"""",""country_of_origin"":""United States"",""product_variants"":[{""code"":""JDE_SW25560-200001"",""metadata"":{""unitOfMeasure"":""CS"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Case"",""weight"":""4x5 LB BC"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""SW25560""}},{""field"":""product.uom"",""prefill"":{""value"":""Case"",""options"":[{""text"":""Case"",""value"":""Case""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_SW25560-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""4x5 LB BC""}}],""businessUnit"":""200001""},{""code"":""JDE_SW25560-200001"",""metadata"":{""unitOfMeasure"":""PC"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Piece"",""weight"":""4x5 LB BC"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""SW25560""}},{""field"":""product.uom"",""prefill"":{""value"":""Piece"",""options"":[{""text"":""Piece"",""value"":""Piece""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_SW25560-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""4x5 LB BC""}}],""businessUnit"":""200001""}]}"
"Red cabbage is rounded and wrapped in tightly wound, waxy purple and burgundy leaves. The flavor of the cabbage is more bold, cruciferous and peppery than green cabbage. This cabbage comes shredded to save prep time.",SW60220,,4x5 LB BC,,Shredded Red Cabbage,,,,https://www.chefswarehouse.com/siteassets/pim-images/cabbage/sw60220_0.jpg,,,,https://www.chefswarehouse.com/products/SW60220/,PACKER,,,,,Chefs' Warehouse,,"{""storage_type"":""Refrigerated"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/cabbage/sw60220_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":""sdf"",""category"":""Fresh Cut Vegetables"",""sub-category"":""Fresh Cut Vegetables"",""sub-sub-category"":""Cabbage"",""supplier_name"":"""",""country_of_origin"":""United States"",""product_variants"":[{""code"":""JDE_SW60220-200001"",""metadata"":{""unitOfMeasure"":""CS"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Case"",""weight"":""4x5 LB BC"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""SW60220""}},{""field"":""product.uom"",""prefill"":{""value"":""Case"",""options"":[{""text"":""Case"",""value"":""Case""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_SW60220-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""4x5 LB BC""}}],""businessUnit"":""200001""},{""code"":""JDE_SW60220-200001"",""metadata"":{""unitOfMeasure"":""PC"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Piece"",""weight"":""4x5 LB BC"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""SW60220""}},{""field"":""product.uom"",""prefill"":{""value"":""Piece"",""options"":[{""text"":""Piece"",""value"":""Piece""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_SW60220-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""4x5 LB BC""}}],""businessUnit"":""200001""}]}"
