description,name,sku,pack,size,gtin,retail_price,is_catch_weight,average_case_weight,image,manufacturer_sku,ordering_unit,is_broken_case,content_url,brand,level_1,level_2,level_3,manufacturer_name,distributor_name,unit_price,extra_data
"Canola Fry Oil is a versatile and high-performance cooking oil that is ideal for deep frying and other high-heat cooking applications. Made from 100% pure canola oil, this oil has a high smoke point that allows it to maintain its quality and stability even under high temperatures. This oil is also low in saturated fat and high in heart-healthy unsaturated fats, making it a healthier option compared to other types of oils. It has a mild taste and a neutral flavor profile that won't interfere with the taste of your food. Canola Fry Oil is perfect for cooking up crispy fried foods like french fries, chicken wings, and tempura, and is also great for saut�ing and baking.",Canola Frying Oil,GS221,,1x35 LB Case,,,,,https://www.chefswarehouse.com/siteassets/pim-images/canola-vegetable-oils/gs221_0.jpg,41618500025,,,https://www.chefswarehouse.com/products//GS221/,PACKER,,,Salad Dressing,SOVENA USA,Chefs' Warehouse,,"{""storage_type"":""Dry"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/canola-vegetable-oils/gs221_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":{""name"":""Kosher"",""text"":""Kosher"",""abbreviation"":""Kosher""},""category"":""Canola & Vegetable Oils"",""sub-category"":""Canola & Vegetable Oils"",""sub-sub-category"":""Canola & Vegetable Oils"",""supplier_name"":"""",""country_of_origin"":""PEND"",""Group"":""Food"",""Level 1 Category"":""Canned and Dry"",""Level 2 Category"":""Dressings Oil & Vinegar"",""Level 3 category"":""Salad Dressing"",""product_variants"":[{""code"":""JDE_GS221-200001"",""metadata"":{""unitOfMeasure"":""CS"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Case"",""weight"":""1x35 LB Case"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""GS221""}},{""field"":""product.uom"",""prefill"":{""value"":""Case"",""options"":[{""text"":""Case"",""value"":""Case""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_GS221-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""1x35 LB Case""}}],""businessUnit"":""200001""}]}"
"Spoleto extra virgin Greek olive oil is crafted from Koroneiki olives in the ancient region of Messenia, along the Ionian Sea. This fine full-bodied, Greek olive oil offers a superior taste and fragrance experience that is easily recognizable, due to its distinct multisensory characteristics, built on slightly bitter and pleasantly pungent flavors that are well-balanced with fruitiness, spiciness, an almond aftertaste, and a rich aroma.",Extra Virgin Olive Oil,GO135,,4 x 3 L Case,,,,,https://www.chefswarehouse.com/siteassets/pim-images/extra-virgin-olive-oils/go135_0.jpg,7.85E+11,,,https://www.chefswarehouse.com/products//GO135/,SPOLETO,,,Salad Dressing,SOVENA USA,Chefs' Warehouse,,"{""storage_type"":""Dry"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/extra-virgin-olive-oils/go135_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":{""name"":""Kosher"",""text"":""Kosher"",""abbreviation"":""Kosher""},""category"":""Extra Virgin Olive Oils"",""sub-category"":""Oil"",""sub-sub-category"":""Extra Virgin Olive Oils"",""supplier_name"":"""",""country_of_origin"":""United States"",""Group"":""Food"",""Level 1 Category"":""Canned and Dry"",""Level 2 Category"":""Dressings Oil & Vinegar"",""Level 3 category"":""Salad Dressing"",""product_variants"":[{""code"":""JDE_GO135-200001"",""metadata"":{""unitOfMeasure"":""CS"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Case"",""weight"":""4 x 3 L Case"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""GO135""}},{""field"":""product.uom"",""prefill"":{""value"":""Case"",""options"":[{""text"":""Case"",""value"":""Case""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_GO135-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""4 x 3 L Case""}}],""businessUnit"":""200001""},{""code"":""JDE_GO135-200001"",""metadata"":{""unitOfMeasure"":""PC"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Piece"",""weight"":""4 x 3 L Case"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""GO135""}},{""field"":""product.uom"",""prefill"":{""value"":""Piece"",""options"":[{""text"":""Piece"",""value"":""Piece""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_GO135-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""4 x 3 L Case""}}],""businessUnit"":""200001""}]}"
"Pan Coating spray is a high-quality and convenient cooking spray that's perfect for preventing food from sticking to your cooking surfaces. This spray is perfect for baking, grilling, and saut�ing.",Pan Coating Spray,GS209,,6 x 14 Oz Case,,,,,https://www.chefswarehouse.com/siteassets/pim-images/shortening-spray-oils/gs209_0.jpg,8037814021,,,https://www.chefswarehouse.com/products//GS209/,VEGALENE,,,Toppings & Croutons,PLZ CORP,Chefs' Warehouse,,"{""storage_type"":""Dry"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/shortening-spray-oils/gs209_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":""sdf"",""category"":""Shortening & Spray Oils"",""sub-category"":""Shortening & Spray Oils"",""sub-sub-category"":""Shortening & Spray Oils"",""supplier_name"":"""",""country_of_origin"":""PEND"",""Group"":""Food"",""Level 1 Category"":""Canned and Dry"",""Level 2 Category"":""Dressings Oil & Vinegar"",""Level 3 category"":""Toppings & Croutons"",""product_variants"":[{""code"":""JDE_GS209-200001"",""metadata"":{""unitOfMeasure"":""CS"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Case"",""weight"":""6 x 14 Oz Case"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""GS209""}},{""field"":""product.uom"",""prefill"":{""value"":""Case"",""options"":[{""text"":""Case"",""value"":""Case""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_GS209-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""6 x 14 Oz Case""}}],""businessUnit"":""200001""}]}"
"10% olive oil and 90% canola oil blend is a versatile cooking oil that is made by combining pure olive oil with canola oil, which gives it a light, mild flavor and a high smoke point, making it ideal for a wide range of culinary applications.",10% Olive and Canola Oil Blend,GO196,,6x1 Gallon BC,,,,,https://www.chefswarehouse.com/siteassets/pim-images/pure-blended-oils/go196_0.jpg,7.85E+11,,,https://www.chefswarehouse.com/products//GO196/,SPOLETO,,,Salad Dressing,SOVENA USA,Chefs' Warehouse,,"{""storage_type"":""Dry"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/pure-blended-oils/go196_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":{""name"":""Kosher"",""text"":""Kosher"",""abbreviation"":""Kosher""},""category"":""Pure & Blended Oils"",""sub-category"":""Pure & Blended Oils"",""sub-sub-category"":""Pure & Blended Oils"",""supplier_name"":"""",""country_of_origin"":""PEND"",""Group"":""Food"",""Level 1 Category"":""Canned and Dry"",""Level 2 Category"":""Dressings Oil & Vinegar"",""Level 3 category"":""Salad Dressing"",""product_variants"":[{""code"":""JDE_GO196-200001"",""metadata"":{""unitOfMeasure"":""CS"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Case"",""weight"":""6x1 Gallon BC"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""GO196""}},{""field"":""product.uom"",""prefill"":{""value"":""Case"",""options"":[{""text"":""Case"",""value"":""Case""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_GO196-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""6x1 Gallon BC""}}],""businessUnit"":""200001""},{""code"":""JDE_GO196-200001"",""metadata"":{""unitOfMeasure"":""PC"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Piece"",""weight"":""6x1 Gallon BC"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""GO196""}},{""field"":""product.uom"",""prefill"":{""value"":""Piece"",""options"":[{""text"":""Piece"",""value"":""Piece""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_GO196-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""6x1 Gallon BC""}}],""businessUnit"":""200001""}]}"
"White truffle oil is a type of gourmet oil that is made by infusing high-quality oil with white truffle essence. It has a distinct and intense flavor and aroma that is reminiscent of fresh truffles and is commonly used as a finishing oil to add a luxurious touch to a wide range of dishes. White truffle oil is a versatile ingredient that can be used in a variety of ways. It is often drizzled over pasta dishes, risottos, and pizzas, and can also be used to add a delicious flavor to mashed potatoes, scrambled eggs, and roasted vegetables. It can even be used to add a unique and delicious flavor to popcorn or french fries.",White Truffle Infused Oil,GO190,,1x250 ML Piece,,,,,https://www.chefswarehouse.com/siteassets/pim-images/flavored-oils/go190_0.jpg,,,,https://www.chefswarehouse.com/products//GO190/,BELARIA,,,Salad Dressing,BEL CANTO FOODS LLC,Chefs' Warehouse,,"{""storage_type"":""Dry"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/flavored-oils/go190_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":""sdf"",""category"":""Flavored Oils"",""sub-category"":""Oil"",""sub-sub-category"":""Flavored Oils"",""supplier_name"":"""",""country_of_origin"":""PEND"",""Group"":""Food"",""Level 1 Category"":""Canned and Dry"",""Level 2 Category"":""Dressings Oil & Vinegar"",""Level 3 category"":""Salad Dressing"",""product_variants"":[{""code"":""JDE_GO190-200001"",""metadata"":{""unitOfMeasure"":""PC"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Piece"",""weight"":""1x250 ML Piece"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""GO190""}},{""field"":""product.uom"",""prefill"":{""value"":""Piece"",""options"":[{""text"":""Piece"",""value"":""Piece""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_GO190-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""PC""}},{""field"":""product.packSize"",""prefill"":{""value"":""1x250 ML Piece""}}],""businessUnit"":""200001""}]}"
"25% olive oil and 75% canola oil blend is a versatile cooking oil that is made by combining pure olive oil with canola oil. The blend contains 25% olive oil and 75% canola oil, which gives it a light, mild flavor and a high smoke point, making it ideal for a wide range of culinary applications.",25% Olive and Canola Oil Blend,GO195,,6x1 Gallon BC,,,,,https://www.chefswarehouse.com/siteassets/pim-images/pure-blended-oils/go195_0.jpg,7.85E+11,,,https://www.chefswarehouse.com/products//GO195/,SPOLETO,,,Salad Dressing,SOVENA USA,Chefs' Warehouse,,"{""storage_type"":""Dry"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/pure-blended-oils/go195_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":{""name"":""Kosher"",""text"":""Kosher"",""abbreviation"":""Kosher""},""category"":""Pure & Blended Oils"",""sub-category"":""Pure & Blended Oils"",""sub-sub-category"":""Pure & Blended Oils"",""supplier_name"":"""",""country_of_origin"":""United States"",""Group"":""Food"",""Level 1 Category"":""Canned and Dry"",""Level 2 Category"":""Dressings Oil & Vinegar"",""Level 3 category"":""Salad Dressing"",""product_variants"":[{""code"":""JDE_GO195-200001"",""metadata"":{""unitOfMeasure"":""CS"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Case"",""weight"":""6x1 Gallon BC"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""GO195""}},{""field"":""product.uom"",""prefill"":{""value"":""Case"",""options"":[{""text"":""Case"",""value"":""Case""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_GO195-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""6x1 Gallon BC""}}],""businessUnit"":""200001""},{""code"":""JDE_GO195-200001"",""metadata"":{""unitOfMeasure"":""PC"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Piece"",""weight"":""6x1 Gallon BC"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""GO195""}},{""field"":""product.uom"",""prefill"":{""value"":""Piece"",""options"":[{""text"":""Piece"",""value"":""Piece""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_GO195-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""6x1 Gallon BC""}}],""businessUnit"":""200001""}]}"
"From ancient Egypt to modern times, the fragrant flavor of sesame seeds has been loved and used for various dishes around the world. Recently, since having their components analyzed, they have also attracted attention as a health food. Kadoya Sesame Mills founded in 1858 with more than 150 years history is the top brand of Japan manufacturing products with select sesame seeds, including sesame oil, due to unique methods. Based on the safety and reliability associated with our brand, we have developed a wide variety of products for both home and professional use, offering fragrant flavor and the promise of health to meal-tables all over the world.",Sesame Seed Oil,GO174,,10 x 3.5 LB Case,,,,,https://www.chefswarehouse.com/siteassets/pim-images/nut-seed-oils/go174_0.jpg,1.00E+13,,,https://www.chefswarehouse.com/products//GO174/,KADOYA,,,Salad Dressing,KADOYA,Chefs' Warehouse,,"{""storage_type"":""Dry"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/nut-seed-oils/go174_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":""sdf"",""category"":""Nut & Seed Oils"",""sub-category"":""Nut & Seed Oils"",""sub-sub-category"":""Nut & Seed Oils"",""supplier_name"":"""",""country_of_origin"":""PEND"",""Group"":""Food"",""Level 1 Category"":""Canned and Dry"",""Level 2 Category"":""Dressings Oil & Vinegar"",""Level 3 category"":""Salad Dressing"",""product_variants"":[{""code"":""JDE_GO174-200001"",""metadata"":{""unitOfMeasure"":""CS"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Case"",""weight"":""10 x 3.5 LB Case"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""GO174""}},{""field"":""product.uom"",""prefill"":{""value"":""Case"",""options"":[{""text"":""Case"",""value"":""Case""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_GO174-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""10 x 3.5 LB Case""}}],""businessUnit"":""200001""},{""code"":""JDE_GO174-200001"",""metadata"":{""unitOfMeasure"":""PC"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Piece"",""weight"":""10 x 3.5 LB Case"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""GO174""}},{""field"":""product.uom"",""prefill"":{""value"":""Piece"",""options"":[{""text"":""Piece"",""value"":""Piece""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_GO174-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""10 x 3.5 LB Case""}}],""businessUnit"":""200001""}]}"
"This very clean and neutral tasting Mediterranean grapeseed oil is cold extracted from the seeds of grapes. Spoleto grapeseed oil is an excellent vessel for carrying other flavors and is particularly suited for high-heat sauteeing or stir-frying, due to its high smoke point of approximately 420 �F.",Grapeseed Oil,BC701701N,,4 x 3 L Case,,,,,https://www.chefswarehouse.com/siteassets/pim-images/nut-seed-oils/bc701701n_0.jpg,,,,https://www.chefswarehouse.com/products//BC701701N/,SPOLETO,,,Salad Dressing,SOVENA USA,Chefs' Warehouse,,"{""storage_type"":""Dry"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/nut-seed-oils/bc701701n_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":{""name"":""Kosher"",""text"":""Kosher"",""abbreviation"":""Kosher""},""category"":""Nut & Seed Oils"",""sub-category"":""Nut & Seed Oils"",""sub-sub-category"":""Nut & Seed Oils"",""supplier_name"":"""",""country_of_origin"":""PEND"",""Group"":""Food"",""Level 1 Category"":""Canned and Dry"",""Level 2 Category"":""Dressings Oil & Vinegar"",""Level 3 category"":""Salad Dressing"",""product_variants"":[{""code"":""JDE_BC701701N-200001"",""metadata"":{""unitOfMeasure"":""CS"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Case"",""weight"":""4 x 3 L Case"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""BC701701N""}},{""field"":""product.uom"",""prefill"":{""value"":""Case"",""options"":[{""text"":""Case"",""value"":""Case""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_BC701701N-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""4 x 3 L Case""}}],""businessUnit"":""200001""},{""code"":""JDE_BC701701N-200001"",""metadata"":{""unitOfMeasure"":""PC"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Piece"",""weight"":""4 x 3 L Case"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""BC701701N""}},{""field"":""product.uom"",""prefill"":{""value"":""Piece"",""options"":[{""text"":""Piece"",""value"":""Piece""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_BC701701N-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""4 x 3 L Case""}}],""businessUnit"":""200001""}]}"
"Canola oil is a versatile cooking oil that is made from the seeds of the canola plant. Canola oil has a mild flavor and a high smoke point, making it suitable for a variety of cooking methods including frying, baking, and sautéing.",Canola Oil,GO127,,6x1 Gallon Case,,,,,https://www.chefswarehouse.com/siteassets/pim-images/canola-vegetable-oils/go127_0.jpg,41618500162,,,https://www.chefswarehouse.com/products//GO127/,PACKER,,,Salad Dressing,SOVENA USA,Chefs' Warehouse,,"{""storage_type"":""Dry"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/canola-vegetable-oils/go127_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":""sdf"",""category"":""Canola & Vegetable Oils"",""sub-category"":""Canola & Vegetable Oils"",""sub-sub-category"":""Canola & Vegetable Oils"",""supplier_name"":"""",""country_of_origin"":""PEND"",""Group"":""Food"",""Level 1 Category"":""Canned and Dry"",""Level 2 Category"":""Dressings Oil & Vinegar"",""Level 3 category"":""Salad Dressing"",""product_variants"":[{""code"":""JDE_GO127-200001"",""metadata"":{""unitOfMeasure"":""CS"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Case"",""weight"":""6x1 Gallon Case"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""GO127""}},{""field"":""product.uom"",""prefill"":{""value"":""Case"",""options"":[{""text"":""Case"",""value"":""Case""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_GO127-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""6x1 Gallon Case""}}],""businessUnit"":""200001""}]}"
"Pure canola oil is a versatile and healthy oil that is ideal for a wide range of cooking and baking applications. Made from high-quality canola seeds, this oil has a light and neutral flavor that allows the natural taste of your food to shine through.",Pure Canola Oil,GO123,,1x35 LB TUB Case,,,,,https://www.chefswarehouse.com/siteassets/pim-images/canola-vegetable-oils/go123_0.jpg,41618500155,,,https://www.chefswarehouse.com/products//GO123/,PACKER,,,Salad Dressing,SOVENA USA,Chefs' Warehouse,,"{""storage_type"":""Dry"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/canola-vegetable-oils/go123_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":""sdf"",""category"":""Canola & Vegetable Oils"",""sub-category"":""Canola & Vegetable Oils"",""sub-sub-category"":""Canola & Vegetable Oils"",""supplier_name"":"""",""country_of_origin"":""PEND"",""Group"":""Food"",""Level 1 Category"":""Canned and Dry"",""Level 2 Category"":""Dressings Oil & Vinegar"",""Level 3 category"":""Salad Dressing"",""product_variants"":[{""code"":""JDE_GO123-200001"",""metadata"":{""unitOfMeasure"":""CS"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Case"",""weight"":""1x35 LB TUB Case"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""GO123""}},{""field"":""product.uom"",""prefill"":{""value"":""Case"",""options"":[{""text"":""Case"",""value"":""Case""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_GO123-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""1x35 LB TUB Case""}}],""businessUnit"":""200001""}]}"
